id,sleep_date,total_minutes_asleep_method1,total_minutes_asleep_sum
7086361926,2016-03-26,311,349
7086361926,2016-03-27,68,71
7086361926,2016-03-28,228,250
7086361926,2016-03-29,470,580
7086361926,2016-03-30,615,710
7086361926,2016-03-31,635,697
7086361926,2016-04-01,410,475
7086361926,2016-04-02,552,580
7086361926,2016-04-05,89,93
7086361926,2016-04-06,454,485
7086361926,2016-04-07,503,521
7086361926,2016-04-08,389,421
7086361926,2016-04-09,466,512
7086361926,2016-04-10,36,54
7086361926,2016-04-11,497,513
7086361926,2016-04-12,410,424
8053475328,2016-03-29,498,506
8378563200,2016-03-11,110,114
8378563200,2016-03-12,577,779
8378563200,2016-03-13,521,601
8378563200,2016-03-14,331,403
8378563200,2016-03-15,349,407
8378563200,2016-03-16,382,429
8378563200,2016-03-17,390,457
8378563200,2016-03-18,561,642
8378563200,2016-03-19,489,544
8378563200,2016-03-20,443,505
8378563200,2016-03-21,416,470
8378563200,2016-03-22,445,519
8378563200,2016-03-23,356,414
8378563200,2016-03-24,420,490
8378563200,2016-03-25,271,285
8378563200,2016-03-26,615,758
8378563200,2016-03-27,568,624
8378563200,2016-03-28,434,478
8378563200,2016-03-29,321,387
8378563200,2016-03-30,563,663
8378563200,2016-03-31,428,494
8378563200,2016-04-01,408,460
8378563200,2016-04-02,582,703
8378563200,2016-04-03,529,592
8378563200,2016-04-04,417,465
8378563200,2016-04-05,414,464
8378563200,2016-04-06,403,443
8378563200,2016-04-07,458,540
8378563200,2016-04-08,302,344
8378563200,2016-04-09,405,574
8378563200,2016-04-10,568,626
8378563200,2016-04-11,330,385
8378563200,2016-04-12,247,265
8792009665,2016-03-27,391,454
8792009665,2016-03-28,389,428
8792009665,2016-03-29,196,217
8792009665,2016-03-30,442,478
8792009665,2016-04-01,480,534
8792009665,2016-04-03,479,564
8792009665,2016-04-04,566,630
8792009665,2016-04-05,384,455
8792009665,2016-04-06,427,507
8792009665,2016-04-07,446,510
8792009665,2016-04-08,424,478
8792009665,2016-04-09,601,678
